id,before_en,before_fr,before_es,after,support,rule
Q47526,Arthur Antunes Coimbra,Zico,Zico,Zico,27/31,unifier
Q342489,Careca,Antônio de Oliveira Filho,Careca,Careca,26/28,unifier
Q459356,Fernandinho,Fernando Luiz Rosa,Fernando Luiz Rosa,Fernandinho,11/26,unifier
Q312772,Fred,Frederico Chaves Guedes,Fred,Frederico Chaves Guedes,13/28,unifier
Q215522,Guillermo Ochoa,Guillermo Ochoa,El Arrebato,Guillermo Ochoa,25/27,unifier
Q80892,Isco,Francisco Román Alarcón,Isco Alarcón,Isco,15/28,unifier
Q39230,Marquinhos,Marquinhos,Marcos Aoás Corrêa,Marquinhos,13/27,unifier
Q45626,Ruud van Nistelrooy,Ruud van Nistelrooy,Ruud van Nistelrooij,Ruud van Nistelrooy,26/32,unifier
Q11557367,Takuma ano,Takuma Asano,Takuma Asano,Takuma Asano,27/30,unifier
Q208104,Xabi Alonso,Carasu,Xabi Alonso,Xabi Alonso,28/32,unifier
Q170452,Adriano,Adriano,Adriano Leite Ribeiro,Adriano Leite Ribeiro,23/29,unifier
Q96105248,Enzo Fernández,Enzo Jeremías Fernández,Enzo Fernández,Enzo Fernández,23/27,unifier
Q28967995,Erling Haaland,Erling Braut Haaland,Erling Haaland,Erling Haaland,17/32,unifier
Q296684,Ezequiel Garay,Ezequiel Garay,Alan Ezequiel Garay,Ezequiel Garay,24/27,unifier
Q203749,Fernando Muslera,Néstor Fernando Muslera,Fernando Muslera,Fernando Muslera,27/29,unifier
Q350547,Filipe Luís,Filipe Luís Kasmirski,Filipe Luís Kasmirski,Filipe Luís,14/28,unifier
Q41533,Frank Lampard,Frank Lampard,Frank Watson  Lampard,Frank Lampard,30/32,unifier
Q165125,Javier Hernández,Javier Hernández Balcázar,Javier Hernández Balcázar,Javier Hernández Balcázar,17/30,unifier
Q509374,Juan Cuadrado,Juan Guillermo Cuadrado,Juan Cuadrado,Juan Cuadrado,13/25,unifier
Q182459,Júlio César,Júlio César,Júlio César Soares Espíndola,Júlio César Soares Espíndola,23/31,unifier
Q46741,Leonardo Araújo,Leonardo,Leonardo Nascimento de Araujo,Leonardo Araújo,15/29,unifier
Q222789,Luis Enrique,Luis Enrique,Luis Enrique Martínez García,Luis Enrique,21/30,unifier
Q177686,Maicon,Maicon Douglas,Maicon Douglas Sisenando,Maicon Douglas Sisenando,14/28,unifier
Q22082505,Marc Hagit Cucurella,Marc Cucurella,Marc Cucurella,Marc Cucurella,27/29,unifier
Q38136,Marcelo Vieira,Marcelo,Marcelo Vieira,Marcelo Vieira,14/30,unifier
Q166984,Mikel John Obi,John Obi Mikel,John Obi Mikel,John Obi Mikel,17/28,unifier
Q503137,Nacho,Nacho,Nacho Fernández Iglesias,Nacho,11/27,unifier
Q19497,Oscar,Oscar dos Santos Emboaba Júnior,Oscar,Oscar dos Santos Emboaba Júnior,14/28,unifier
Q179773,Pedro,Pedro,Pedro Rodríguez Ledesma,Pedro Rodríguez Ledesma,22/29,unifier
Q138172,Radamel Falcao,Radamel Falcao,Radamel Falcao García,Radamel Falcao,17/32,unifier
Q186330,Rafael Márquez El piojo,Rafael Márquez,Rafael Márquez Álvarez,Rafael Márquez,24/30,unifier
Q348557,Ramón Díaz,Ramón Díaz,Ramón Ángel Díaz,Ramón Díaz,25/29,unifier
Q11576,Raúl,Raúl González,Raúl González Blanco,Raúl,11/30,unifier
Q20994118,Rodri,Rodri,Rodri Hernández,Rodri,18/30,unifier
Q42728914,Rodrygo,Rodrygo,Rodrygo Goes,Rodrygo,13/28,unifier
