id,wikidata,hint,name_en_before,name_fr_before,name_es_before,decision,reason,name_en_after,name_fr_after,name_es_after,consensus,aliases_added
Q20469,https://www.wikidata.org/wiki/Q20469,REVIEW: forms disagree,Alan Dzagoev,Alan Dzagoïev,Alán Dzagóyev,kept_per_language,"legitimate transliteration, no multilingual consensus (7/27)",Alan Dzagoev,Alan Dzagoïev,Alán Dzagóyev,7/27,
Q201866,https://www.wikidata.org/wiki/Q201866,REVIEW: forms disagree,Aleksandr Kerzhakov,Aleksandr Kerjakov,Aleksandr Kerzhakov,kept_per_language,"legitimate transliteration, no multilingual consensus (7/24)",Aleksandr Kerzhakov,Aleksandr Kerjakov,Aleksandr Kerzhakov,7/24,
Q47230,https://www.wikidata.org/wiki/Q47230,REVIEW: forms disagree,Andrey Arshavin,Andreï Archavine,Andréi Arshavin,kept_per_language,"legitimate transliteration, no multilingual consensus (4/30)",Andrey Arshavin,Andreï Archavine,Andréi Arshavin,4/30,
Q41244,https://www.wikidata.org/wiki/Q41244,REVIEW: forms disagree,Andriy Shevchenko,Andriy Shevtchenko,Andriy Shevchenko,kept_per_language,"legitimate transliteration, no multilingual consensus (8/32)",Andriy Shevchenko,Andriy Shevtchenko,Andriy Shevchenko,8/32,
Q713439,https://www.wikidata.org/wiki/Q713439,REVIEW: forms disagree,Artem Dzyuba,Artiom Dziouba,Artiom Dziuba,kept_per_language,"legitimate transliteration, no multilingual consensus (6/24)",Artem Dzyuba,Artiom Dziouba,Artiom Dziuba,6/24,
Q47526,https://www.wikidata.org/wiki/Q47526,REVIEW: forms disagree,Arthur Antunes Coimbra,Zico,Zico,unified,common football name confirmed by multilingual consensus (27/31 languages),Zico,Zico,Zico,27/31,Arthur Antunes Coimbra
Q342489,https://www.wikidata.org/wiki/Q342489,REVIEW: forms disagree,Careca,Antônio de Oliveira Filho,Careca,unified,common football name confirmed by multilingual consensus (26/28 languages),Careca,Careca,Careca,26/28,Antônio de Oliveira Filho
Q459356,https://www.wikidata.org/wiki/Q459356,REVIEW: forms disagree,Fernandinho,Fernando Luiz Rosa,Fernando Luiz Rosa,unified,common football name confirmed by multilingual consensus (11/26 languages),Fernandinho,Fernandinho,Fernandinho,11/26,Fernando Luiz Rosa
Q312772,https://www.wikidata.org/wiki/Q312772,REVIEW: forms disagree,Fred,Frederico Chaves Guedes,Fred,unified,common football name confirmed by multilingual consensus (13/28 languages),Frederico Chaves Guedes,Frederico Chaves Guedes,Frederico Chaves Guedes,13/28,Fred
Q215522,https://www.wikidata.org/wiki/Q215522,REVIEW: forms disagree,Guillermo Ochoa,Guillermo Ochoa,El Arrebato,unified,common football name confirmed by multilingual consensus (25/27 languages),Guillermo Ochoa,Guillermo Ochoa,Guillermo Ochoa,25/27,El Arrebato
Q187125,https://www.wikidata.org/wiki/Q187125,REVIEW: forms disagree,Hristo Stoichkov,Hristo Stoitchkov,Hristo Stoichkov,kept_per_language,"legitimate transliteration, no multilingual consensus (12/32)",Hristo Stoichkov,Hristo Stoitchkov,Hristo Stoichkov,12/32,
Q80892,https://www.wikidata.org/wiki/Q80892,REVIEW: forms disagree,Isco,Francisco Román Alarcón,Isco Alarcón,unified,common football name confirmed by multilingual consensus (15/28 languages),Isco,Isco,Isco,15/28,Francisco Román Alarcón | Isco Alarcón
Q39230,https://www.wikidata.org/wiki/Q39230,REVIEW: forms disagree,Marquinhos,Marquinhos,Marcos Aoás Corrêa,unified,common football name confirmed by multilingual consensus (13/27 languages),Marquinhos,Marquinhos,Marquinhos,13/27,Marcos Aoás Corrêa
Q168029,https://www.wikidata.org/wiki/Q168029,REVIEW: forms disagree,Roman Pavlyuchenko,Roman Pavlioutchenko,Román Pavliuchenko,kept_per_language,"legitimate transliteration, no multilingual consensus (5/29)",Roman Pavlyuchenko,Roman Pavlioutchenko,Román Pavliuchenko,5/29,
Q45626,https://www.wikidata.org/wiki/Q45626,REVIEW: forms disagree,Ruud van Nistelrooy,Ruud van Nistelrooy,Ruud van Nistelrooij,unified,common football name confirmed by multilingual consensus (26/32 languages),Ruud van Nistelrooy,Ruud van Nistelrooy,Ruud van Nistelrooy,26/32,Ruud van Nistelrooij
Q11557367,https://www.wikidata.org/wiki/Q11557367,REVIEW: forms disagree,Takuma ano,Takuma Asano,Takuma Asano,unified,common football name confirmed by multilingual consensus (27/30 languages),Takuma Asano,Takuma Asano,Takuma Asano,27/30,Takuma ano
Q208104,https://www.wikidata.org/wiki/Q208104,REVIEW: forms disagree,Xabi Alonso,Carasu,Xabi Alonso,unified,common football name confirmed by multilingual consensus (28/32 languages),Xabi Alonso,Xabi Alonso,Xabi Alonso,28/32,Carasu
Q184261,https://www.wikidata.org/wiki/Q184261,REVIEW: forms disagree,Yuri Zhirkov,Iouri Jirkov,Yuri Zhirkov,kept_per_language,"legitimate transliteration, no multilingual consensus (6/26)",Yuri Zhirkov,Iouri Jirkov,Yuri Zhirkov,6/26,
Q170452,https://www.wikidata.org/wiki/Q170452,short vs full name,Adriano,Adriano,Adriano Leite Ribeiro,unified,common football name confirmed by multilingual consensus (23/29 languages),Adriano Leite Ribeiro,Adriano Leite Ribeiro,Adriano Leite Ribeiro,23/29,Adriano
Q96105248,https://www.wikidata.org/wiki/Q96105248,short vs full name,Enzo Fernández,Enzo Jeremías Fernández,Enzo Fernández,unified,common football name confirmed by multilingual consensus (23/27 languages),Enzo Fernández,Enzo Fernández,Enzo Fernández,23/27,Enzo Jeremías Fernández
Q28967995,https://www.wikidata.org/wiki/Q28967995,short vs full name,Erling Haaland,Erling Braut Haaland,Erling Haaland,unified,common football name confirmed by multilingual consensus (17/32 languages),Erling Haaland,Erling Haaland,Erling Haaland,17/32,Erling Braut Haaland
Q296684,https://www.wikidata.org/wiki/Q296684,short vs full name,Ezequiel Garay,Ezequiel Garay,Alan Ezequiel Garay,unified,common football name confirmed by multilingual consensus (24/27 languages),Ezequiel Garay,Ezequiel Garay,Ezequiel Garay,24/27,Alan Ezequiel Garay
Q203749,https://www.wikidata.org/wiki/Q203749,short vs full name,Fernando Muslera,Néstor Fernando Muslera,Fernando Muslera,unified,common football name confirmed by multilingual consensus (27/29 languages),Fernando Muslera,Fernando Muslera,Fernando Muslera,27/29,Néstor Fernando Muslera
Q350547,https://www.wikidata.org/wiki/Q350547,short vs full name,Filipe Luís,Filipe Luís Kasmirski,Filipe Luís Kasmirski,unified,"nested forms, common football name retained (14/28 languages)",Filipe Luís,Filipe Luís,Filipe Luís,14/28,Filipe Luís Kasmirski
Q41533,https://www.wikidata.org/wiki/Q41533,short vs full name,Frank Lampard,Frank Lampard,Frank Watson Lampard,unified,common football name confirmed by multilingual consensus (30/32 languages),Frank Lampard,Frank Lampard,Frank Lampard,30/32,Frank Watson  Lampard
Q165125,https://www.wikidata.org/wiki/Q165125,short vs full name,Javier Hernández,Javier Hernández Balcázar,Javier Hernández Balcázar,unified,common football name confirmed by multilingual consensus (17/30 languages),Javier Hernández Balcázar,Javier Hernández Balcázar,Javier Hernández Balcázar,17/30,Javier Hernández
Q509374,https://www.wikidata.org/wiki/Q509374,short vs full name,Juan Cuadrado,Juan Guillermo Cuadrado,Juan Cuadrado,unified,common football name confirmed by multilingual consensus (13/25 languages),Juan Cuadrado,Juan Cuadrado,Juan Cuadrado,13/25,Juan Guillermo Cuadrado
Q182459,https://www.wikidata.org/wiki/Q182459,short vs full name,Júlio César,Júlio César,Júlio César Soares Espíndola,unified,common football name confirmed by multilingual consensus (23/31 languages),Júlio César Soares Espíndola,Júlio César Soares Espíndola,Júlio César Soares Espíndola,23/31,Júlio César
Q46741,https://www.wikidata.org/wiki/Q46741,short vs full name,Leonardo Araújo,Leonardo,Leonardo Nascimento de Araujo,unified,common football name confirmed by multilingual consensus (15/29 languages),Leonardo Araújo,Leonardo Araújo,Leonardo Araújo,15/29,Leonardo | Leonardo Nascimento de Araujo
Q222789,https://www.wikidata.org/wiki/Q222789,short vs full name,Luis Enrique,Luis Enrique,Luis Enrique Martínez García,unified,"nested forms, common football name retained (21/30 languages)",Luis Enrique,Luis Enrique,Luis Enrique,21/30,Luis Enrique Martínez García
Q177686,https://www.wikidata.org/wiki/Q177686,short vs full name,Maicon,Maicon Douglas,Maicon Douglas Sisenando,unified,common football name confirmed by multilingual consensus (14/28 languages),Maicon Douglas Sisenando,Maicon Douglas Sisenando,Maicon Douglas Sisenando,14/28,Maicon | Maicon Douglas
