id,name_en,name_fr,name_es
Q1000,Gabon,Gabon,Gabón
Q1008,Ivory Coast,Côte d'Ivoire,Costa de Marfil
Q1009,Cameroon,Cameroun,Camerún
Q1014,Liberia,Liberia,Liberia
Q1028,Morocco,Maroc,Marruecos
Q1033,Nigeria,Nigeria,Nigeria
Q1041,Senegal,Sénégal,Senegal
Q117,Ghana,Ghana,Ghana
Q142,France,France,Francia
Q145,United Kingdom,Royaume-Uni,Reino Unido
Q15180,Soviet Union,Union soviétique,Unión Soviética
Q155,Brazil,Brésil,Brasil
Q159,Russia,Russie,Rusia
Q17,Japan,Japon,Japón
Q183,Germany,Allemagne,Alemania
Q20,Norway,Norvège,Noruega
Q212,Ukraine,Ukraine,Ucrania
Q213,Czech Republic,Tchéquie,República Checa
Q214,Slovakia,Slovaquie,Eslovaquia
Q215,Slovenia,Slovénie,Eslovenia
Q218,Romania,Roumanie,Rumania
Q219,Bulgaria,Bulgarie,Bulgaria
Q224,Croatia,Croatie,Croacia
Q225,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina
Q230,Georgia,Géorgie,Georgia
Q27,Ireland,Irlande,Irlanda
Q29,Spain,Espagne,España
Q298,Chile,Chili,Chile
Q29999,Netherlands,Pays-Bas,Países Bajos
Q30,United States,États-Unis,Estados Unidos
Q31,Belgium,Belgique,Bélgica
Q33,Finland,Finlande,Finlandia
Q34,Sweden,Suède,Suecia
Q36,Poland,Pologne,Polonia
Q37024,Serbia and Montenegro,Serbie-et-Monténégro,Serbia y Montenegro
Q38,Italy,Italie,Italia
Q39,Switzerland,Suisse,Suiza
Q40,Austria,Autriche,Austria
Q403,Serbia,Serbie,Serbia
Q408,Australia,Australie,Australia
Q414,Argentina,Argentine,Argentina
Q419,Peru,Pérou,Perú
Q43,Turkey,Turquie,Turquía
Q45,Portugal,Portugal,Portugal
Q717,Venezuela,Venezuela,Venezuela
Q736,Ecuador,Équateur,Ecuador
Q739,Colombia,Colombie,Colombia
Q756617,Denmark,Danemark,Dinamarca
Q77,Uruguay,Uruguay,Uruguay
Q79,Egypt,Égypte,Egipto
Q884,South Korea,Corée du Sud,Corea del Sur
Q945,Togo,Togo,Togo
Q96,Mexico,Mexique,México
