player_id,alias
Q99760796,Cole Jermaine Palmer
Q192974,Sukür
Q210453,Thiago Emiliano da Silva
Q185572,Mikel Arteta Amatriain
Q13308,Samuel Um Titi
Q13308,Samuel Yves Um Titi
Q13308,Samuel Yves Umtiti
Q45901,Thierry Daniel Henry
Q45901,Titi
Q45901,Titi Henry
Q359727,Kishou Yano
Q577384,Hans Flick
Q577384,Hans-Dieter Flick
Q134976,Lucas Podolski
Q134976,Lukas Josef Podolski
Q134976,Lukas Podolsky
Q134976,Lukasz Podolski
Q134976,Podolski
Q134976,Łukasz Józef Podolski
Q6298063,Joao Pedro Cavaco Cancelo
Q185208,Glen McLeod Cooper Johnson
Q185208,Glen McLeod Cooper Jonhson
Q185208,Glen McLeod Cooper Stephens
Q185208,Glen mcleod johnson
Q17493,Thiago Alcantara do Nascimento
Q17493,Thiago Alcantara do Nascimiento
Q52876,Javier Adelmar Zanetti
Q52876,Pupi
Q52876,Pupi Zanetti
Q160472,Ter Stegen
Q16499882,Leroy Aziz Sané
Q16499882,Leroy Mohand Sané
Q42731,Fernando Jose Torres Sanz
Q42731,Fernando Torres Sanz
Q42731,Nino Torres
Q160206,Hernan Jorge Crespo
Q483137,Cech
Q483137,Peder Cech
Q483137,Pedr Cech
Q483137,Peter Cech
Q483137,Peter Czech
Q12984,El Shaarawy
Q12984,Il Faraone
Q12984,Le Pharaon
Q12984,Stephan Kareem El Shaarawy
Q191139,Barthez
Q191139,FAFA
Q191139,Fabien Alain Barthez
Q191139,Fabien Alain Georges Barthez
Q191139,fafis
Q151838,Axel Laurent Angel Lambert Witsel
Q151838,Axel Laurent Witsel
Q151838,Axel Thomas Witsel
Q1935,Eric Sylvain Abidal
Q1935,Éric Sylvain Bilal Abidal
Q306351,John Francis O'Shea
Q28967995,Erling Braut Haland
Q28967995,Erling Haland
Q28967995,Lyng
Q969725,Harry Edward Kane
Q969725,Hurricane
Q26517,El Pistolero
Q26517,Luis Alberto Suárez
Q26517,Luis Alberto Suárez Díaz
Q102027,Cannavaro
Q102027,Il muro de Berlino
Q102027,Il muro di Berlino
Q25253293,Victor James Osimhen
Q25253293,Victor Osimehen
Q18924954,Lucas Francois Bernard Hernández
Q281734,Nagatomo Yuto
Q281734,Nagatomo Yuuto
Q281734,Yuuto Nagatomo
