id,name,position,nationality,birth_year,notoriety
Q99760796,Cole Palmer,fw,United Kingdom,2002,61
Q192974,Hakan Şükür,fw,Turkey,1971,58
Q210453,Thiago Silva,def,France,1984,73
Q185572,Mikel Arteta,mid,Spain,1982,68
Q13308,Samuel Umtiti,def,Cameroon,1993,68
Q520721,Leon Goretzka,mid,Germany,1995,57
Q45901,Thierry Henry,fw,France,1977,103
Q359727,Kisho Yano,fw,Japan,1984,56
Q577384,Hansi Flick,mid,Germany,1965,57
Q134976,Lukas Podolski,mid,Germany,1985,91
Q6298063,João Cancelo,def,Portugal,1994,57
Q161054,Ivan Perišić,fw,Croatia,1989,72
Q401418,Ahmed Musa,fw,Nigeria,1992,57
Q185208,Glen Johnson,def,United Kingdom,1984,56
Q17493,Thiago Alcântara,mid,Brazil,1991,65
Q52876,Javier Zanetti,mid,Argentina,1973,71
Q160472,Marc-André ter Stegen,gk,Germany,1992,70
Q16499882,Leroy Sané,fw,Senegal,1996,63
Q42731,Fernando Torres,fw,Spain,1984,91
Q160206,Hernán Crespo,fw,Italy,1975,78
Q483137,Petr Čech,gk,Czech Republic,1982,75
Q12984,Stephan El Shaarawy,fw,Italy,1992,59
Q191139,Fabien Barthez,gk,France,1971,62
Q151838,Axel Witsel,mid,Belgium,1989,62
Q1935,Eric Abidal,def,France,1979,68
Q306351,John O'Shea,def,Ireland,1981,57
Q28967995,Erling Haaland,fw,Norway,2000,96
Q969725,Harry Kane,fw,United Kingdom,1993,95
Q26517,Luis Suárez,fw,Uruguay,1987,113
Q102027,Fabio Cannavaro,def,Italy,1973,83
Q25253293,Victor Osimhen,fw,Nigeria,1998,60
Q18924954,Lucas Hernandez,def,France,1996,58
Q281734,Yūto Nagatomo,def,Japan,1986,68
Q93563,Luke Shaw,def,United Kingdom,1995,66
Q185081,Marco Materazzi,def,Italy,1973,60
Q46951844,Aurélien Tchouaméni,mid,France,2000,56
Q152897,Benedikt Höwedes,def,Germany,1988,59
Q194149,Alex Oxlade-Chamberlain,mid,United Kingdom,1993,57
Q47516,Pierre Littbarski,mid,Germany,1960,57
Q73082,Paulinho,mid,Brazil,1988,58
Q482955,Edwin van der Sar,gk,Kingdom of the Netherlands,1970,77
Q483309,Sergio Ramos,def,Spain,1986,90
Q624,Alessandro Del Piero,fw,Italy,1974,85
Q59381180,Julián Alvarez,fw,Argentina,2000,62
Q313316,Romelu Lukaku,fw,Belgium,1993,89
Q2091463,Anthony Martial,fw,France,1995,59
Q458101,Ciro Immobile,fw,Italy,1990,63
Q175296,Raul Meireles,mid,Portugal,1983,59
Q180939,Peter Crouch,fw,United Kingdom,1981,57
Q483837,Luka Modrić,mid,Croatia,1985,112
Q42728914,Rodrygo,fw,Brazil,2001,60
Q250901,Álvaro Arbeloa,def,Spain,1983,70
Q195620,Yuya Osako,fw,Japan,1990,65
Q1029982,Peter Bosz,mid,Kingdom of the Netherlands,1963,57
Q193625,Marcel Desailly,def,Ghana,1968,63
Q20851003,Ousmane Dembélé,fw,France,1997,86
Q38000669,Mason Mount,mid,United Kingdom,1999,57
Q110053,Mats Hummels,def,Germany,1988,75
Q187426,Fernando Gago,mid,Argentina,1986,58
Q19560313,Dani Olmo,mid,Spain,1998,58
Q178683,Cafu,def,Brazil,1970,65
Q164676,Makoto Hasebe,mid,Japan,1984,68
Q46347,Patrick Vieira,mid,France,1976,71
Q46896,Zlatan Ibrahimović,fw,Sweden,1981,119
Q208050,Leonardo Bonucci,def,Italy,1987,70
Q133556,Ashley Cole,def,United Kingdom,1980,71
Q316681,Gareth Southgate,def,United Kingdom,1970,56
Q191885,Thiago Motta,mid,Brazil,1982,61
Q28801927,Cody Gakpo,fw,Kingdom of the Netherlands,1999,60
Q27310755,Kai Havertz,fw,Germany,1999,65
Q10602,Ashley Young,def,United Kingdom,1985,70
Q20806743,Richarlison,fw,Brazil,1997,61
Q18394009,Renato Sanches,mid,Portugal,1997,56
Q186478,Luca Toni,fw,Italy,1977,57
Q310612,Shinji Okazaki,fw,Japan,1986,68
Q21484126,Lautaro Martínez,fw,Argentina,1997,63
