id,player_id,from_club,to_club,year,kind,tier
1,Q67964,Q2052,Q1422,1990,transfer,1
2,Q67964,Q1422,Q1543,1995,transfer,1
3,Q67964,Q1543,Q1893,1997,transfer,1
4,Q67964,Q1893,Q631,1998,transfer,1
5,Q67964,Q631,Q6651,2000,transfer,2
6,Q68039,Q1422,Q2739,1985,transfer,3
7,Q68060,Q2693,Q1422,2001,transfer,1
8,Q68060,Q1422,Q483020,2018,transfer,1
9,Q68060,Q483020,Q1422,2019,transfer,1
10,Q68060,Q1422,Q2693,2021,transfer,1
11,Q70550,Q33748,Q51976,2006,transfer,2
12,Q70550,Q51976,Q9617,2011,transfer,2
13,Q72648,Q19516,Q483020,2013,transfer,3
14,Q72648,Q483020,Q2739,2015,loan,3
15,Q72648,Q2739,Q7156,2016,transfer,3
16,Q72648,Q7156,Q5794,2018,transfer,3
17,Q72648,Q5794,Q18711,2022,transfer,3
18,Q73082,Q35933,Q18741,2013,transfer,3
19,Q73082,Q18741,Q130521,2015,transfer,3
20,Q73082,Q130521,Q7156,2017,transfer,3
21,Q73082,Q7156,Q130521,2019,transfer,3
22,Q73082,Q130521,Q44441,2021,transfer,3
23,Q73082,Q44441,Q35933,2022,transfer,3
24,Q73360,Q9616,Q8682,2018,transfer,1
25,Q75857,Q41420,Q8682,2011,transfer,3
26,Q75857,Q8682,Q41420,2014,transfer,3
27,Q75857,Q41420,Q51976,2018,transfer,3
28,Q75857,Q51976,Q43710,2020,transfer,3
29,Q76089,Q276533,Q2074,2003,transfer,3
30,Q76089,Q2074,Q10308,2005,transfer,3
31,Q76089,Q10308,Q2074,2008,transfer,3
32,Q76089,Q2074,Q631,2009,transfer,3
33,Q76089,Q631,Q276533,2014,transfer,3
34,Q167790,Q584316,Q2674,2007,transfer,2
35,Q167790,Q2674,Q2641,2010,transfer,1
36,Q167790,Q2641,Q483020,2013,transfer,1
37,Q167790,Q483020,Q18656,2020,transfer,1
38,Q167790,Q18656,Q10333,2022,transfer,1
39,Q168029,Q1059186,Q29112,2003,transfer,3
40,Q168029,Q29112,Q18741,2008,transfer,3
41,Q168029,Q18741,Q29115,2012,transfer,3
42,Q168029,Q29115,Q29103,2015,transfer,3
43,Q168029,Q29103,Q889348,2016,transfer,3
44,Q168497,Q2739,Q170703,2019,transfer,3
45,Q168540,Q19521,Q19513,1986,transfer,3
46,Q80306,Q6767,Q2739,2002,transfer,2
47,Q80306,Q2739,Q1422,2004,transfer,2
48,Q80306,Q1422,Q18380286,2022,transfer,2
49,Q80471,Q8466,Q51976,2004,transfer,1
50,Q80471,Q51976,Q15789,2007,transfer,1
51,Q80471,Q15789,Q2609,2011,transfer,1
52,Q80892,Q8857,Q8682,2013,transfer,2
53,Q80892,Q8682,Q8723,2023,transfer,2
54,Q83006,Q12278,Q10308,2003,transfer,1
55,Q83006,Q10308,Q10333,2005,transfer,1
56,Q83006,Q10333,Q7156,2010,transfer,1
57,Q83006,Q7156,Q8701,2013,transfer,1
58,Q83006,Q8701,Q13361030,2014,transfer,2
59,Q83006,Q13361030,Q844271,2019,transfer,2
60,Q83488,Q32494,Q51976,2008,transfer,1
61,Q83488,Q8682,Q9617,2013,transfer,1
62,Q83488,Q9617,Q6601875,2021,transfer,1
63,Q83488,Q6601875,Q857938,2022,transfer,1
64,Q168740,Q12217,Q10333,2007,transfer,2
65,Q168740,Q10333,Q9616,2011,transfer,2
66,Q168740,Q9616,Q18656,2014,transfer,2
67,Q168740,Q18656,Q495299,2022,transfer,2
68,Q168740,Q495299,Q844271,2023,transfer,2
69,Q168740,Q844271,Q999035,2024,transfer,2
70,Q168740,Q999035,Q316789,2025,transfer,2
71,Q169098,Q81888,Q10308,1987,loan,2
72,Q169098,Q75729,Q1543,1988,transfer,2
73,Q169098,Q1543,Q81888,1993,transfer,2
74,Q170235,Q136433,Q104761,2001,transfer,3
75,Q170235,Q104761,Q18741,2006,transfer,3
76,Q170235,Q18741,Q18656,2008,transfer,3
77,Q170235,Q18656,Q18708,2012,transfer,3
78,Q170235,Q18708,Q180305,2014,transfer,3
79,Q170235,Q180305,Q204888,2015,transfer,3
80,Q170328,Q182876,Q483020,1988,transfer,2
81,Q170328,Q483020,Q18656,1992,transfer,2
82,Q170376,Q221882,Q15799,1989,transfer,2
83,Q170376,Q15799,Q170703,1990,transfer,2
84,Q170376,Q170703,Q2052,1991,transfer,2
85,Q170376,Q2052,Q2739,2000,transfer,2
86,Q170452,Q17479,Q631,2001,transfer,3
87,Q170452,Q631,Q2693,2002,transfer,3
88,Q170452,Q2693,Q631,2004,transfer,3
89,Q170452,Q631,Q17479,2009,transfer,3
90,Q170452,Q17479,Q2739,2010,transfer,3
91,Q170452,Q2739,Q35933,2011,transfer,3
92,Q171295,Q193481,Q2609,1995,transfer,2
93,Q171295,Q2609,Q1422,1999,transfer,2
94,Q172720,Q198032,Q10329,2002,transfer,2
95,Q172720,Q10329,Q7156,2008,transfer,1
96,Q172720,Q7156,Q1422,2016,transfer,1
97,Q172720,Q1422,Q483020,2017,transfer,1
98,Q172720,Q483020,Q38568,2019,transfer,1
99,Q172720,Q38568,Q7156,2022,transfer,1
100,Q172720,Q7156,Q1143000,2022,transfer,2
101,Q201381,Q187528,Q51974,2006,transfer,2
102,Q201381,Q51974,Q50602,2008,transfer,2
103,Q201381,Q50602,Q187528,2019,transfer,2
104,Q201752,Q8687,Q15789,2012,transfer,3
105,Q201825,Q192253,Q6651,2004,transfer,2
106,Q201825,Q6651,Q2641,2007,transfer,2
107,Q201825,Q201567,Q192641,2021,transfer,2
108,Q201860,Q309095,Q18708,2007,transfer,3
109,Q201860,Q18708,Q18741,2012,transfer,3
110,Q201860,Q18741,Q632511,2013,transfer,3
111,Q201866,Q29108,Q10329,2007,transfer,3
112,Q201866,Q10329,Q17497,2008,transfer,3
113,Q201866,Q17497,Q29108,2010,transfer,3
114,Q201900,Q43710,Q6601875,1993,transfer,3
115,Q201900,Q6601875,Q7156,2003,transfer,3
116,Q201900,Q7156,Q6601875,2006,transfer,3
117,Q201900,Q6601875,Q172567,2007,transfer,3
118,Q192974,Q203573,Q495299,1992,transfer,3
119,Q192974,Q495299,Q631,2000,transfer,3
120,Q192974,Q2693,Q19446,2002,free,3
121,Q192974,Q19446,Q495299,2003,free,3
122,Q193000,Q128446,Q29108,2010,transfer,3
123,Q193000,Q29108,Q6601875,2013,transfer,3
124,Q193000,Q6601875,Q1900,2016,transfer,3
125,Q193000,Q1900,Q19597,2017,transfer,3
126,Q193000,Q19597,Q2693,2018,transfer,3
127,Q193625,Q192071,Q132885,1992,transfer,3
128,Q193625,Q132885,Q1543,1993,transfer,3
129,Q193625,Q1543,Q9616,1998,transfer,3
130,Q193625,Q9616,Q428211,2004,transfer,3
131,Q193706,Q274465,Q131499,2007,transfer,2
132,Q193706,Q131499,Q9616,2011,transfer,2
133,Q193706,Q9616,Q483020,2014,transfer,2
134,Q193706,Q483020,Q9616,2016,transfer,2
135,Q193706,Q9616,Q9617,2019,transfer,2
136,Q193706,Q17479,Q188841,2025,transfer,2
137,Q193706,Q188841,Q17442894,2025,transfer,2
138,Q193768,Q2798,Q19604,2007,transfer,3
139,Q193768,Q19604,Q631,2008,transfer,3
140,Q193768,Q631,Q1543,2012,loan,3
141,Q193768,Q1543,Q309480,2015,transfer,3
142,Q193768,Q309480,Q2710,2017,transfer,3
143,Q193768,Q2710,Q8760,2018,transfer,3
144,Q193768,Q8760,Q576285,2019,transfer,3
145,Q194149,Q18732,Q9617,2011,transfer,3
146,Q194149,Q9617,Q1130849,2017,transfer,3
147,Q194149,Q1130849,Q172567,2023,transfer,3
148,Q194149,Q172567,Q19593,2026,transfer,3
149,Q195620,Q16932,Q104770,2014,transfer,2
150,Q195620,Q104770,Q51976,2018,transfer,2
151,Q195620,Q51976,Q844271,2021,transfer,2
152,Q200785,Q204220,Q18656,2003,transfer,3
153,Q200785,Q18656,Q5794,2007,transfer,3
154,Q200785,Q5794,Q642408,2016,transfer,3
155,Q172792,Q18656,Q18744,2015,transfer,3
156,Q172792,Q18744,Q18736,2017,transfer,3
157,Q173139,Q180305,Q483020,1992,transfer,1
158,Q173139,Q483020,Q1543,1995,transfer,1
159,Q173139,Q1543,Q132885,2000,transfer,1
160,Q173139,Q132885,Q429630,2001,transfer,3
161,Q173360,Q134241,Q19597,1998,transfer,3
162,Q173360,Q19597,Q9617,2001,transfer,3
163,Q173360,Q9617,Q7156,2004,transfer,3
164,Q173360,Q7156,Q134241,2007,transfer,3
165,Q192635,Q81888,Q11938,1986,transfer,2
166,Q192635,Q11938,Q7156,1989,transfer,2
167,Q192635,Q7156,Q134241,1995,transfer,2
168,Q192640,Q173009,Q2609,1998,transfer,3
169,Q192640,Q2609,Q631,2004,transfer,3
170,Q192671,Q207373,Q737753,2007,transfer,2
171,Q192671,Q737753,Q1422,2011,transfer,2
172,Q192671,Q1422,Q15789,2015,transfer,2
173,Q192671,Q15789,Q7156,2018,transfer,2
174,Q192671,Q7156,Q631,2020,transfer,2
175,Q192671,Q631,Q17479,2022,transfer,2
176,Q192671,Q17479,Q506832,2023,transfer,2
177,Q192671,Q506832,Q207373,2024,transfer,2
178,Q192965,Q170703,Q7156,2002,transfer,3
179,Q192965,Q7156,Q12297,2005,transfer,3
180,Q192965,Q12297,Q170703,2007,loan,3
181,Q192965,Q170703,Q220621,2014,transfer,3
182,Q102027,Q2641,Q2693,1995,transfer,1
183,Q102027,Q2693,Q631,2002,transfer,1
184,Q102027,Q631,Q1422,2004,transfer,1
185,Q102027,Q1422,Q8682,2006,transfer,1
186,Q102027,Q8682,Q1422,2009,transfer,1
187,Q102027,Q1422,Q424943,2010,transfer,3
188,Q102331,Q2052,Q17479,1986,transfer,3
189,Q102331,Q17479,Q80955,1988,transfer,3
190,Q107051,Q6630,Q2037,2003,transfer,3
191,Q107051,Q2037,Q2674,2004,transfer,3
192,Q107051,Q2674,Q101859,2008,transfer,3
193,Q107051,Q101859,Q1422,2011,transfer,3
194,Q107365,Q32494,Q15789,2011,transfer,1
195,Q110053,Q15789,Q41420,2009,transfer,2
196,Q110053,Q41420,Q15789,2016,transfer,2
